Date,Rainfall,Tmax,Tmin,speed
20110402,17.01,27.3,18.9,
20110403,0.51,27.9,19.6,
20110404,0.00,30.3,20.1,
20110405,0.35,27.1,20.0,
20110406,1.32,26.2,19.1,
20110407,1.95,25.9,19.8,
20110408,1.85,26.3,20.1,
20110409,3.54,27.1,19.2,
20110410,0.39,28.1,19.6,
20110411,0.09,28.8,20.1,
20110412,0.00,29.5,19.8,
20110413,0.69,27.7,20.3,
20110414,0.19,25.8,19.9,
20110415,19.95,26.9,18.9,
20110416,1.13,26.3,19.6,
20110417,0.59,30.0,16.7,
20110418,7.52,30.0,19.1,
20110419,1.14,27.7,20.3,
20110420,0.67,26.8,19.9,
20110421,0.75,28.2,19.6,
20110422,12.41,26.1,20.0,
20110423,1.11,26.4,18.5,
20110424,23.74,28.3,19.6,
20110425,1.51,28.3,19.5,
20110426,9.03,28.0,19.3,
20110427,9.94,28.3,19.0,
20110428,5.72,25.7,18.4,
20110429,6.90,27.1,18.0,
20110430,1.32,26.9,19.0,
20110501,4.24,27.6,20.4,
20110502,25.38,25.5,19.8,
20110503,3.01,24.5,19.9,
20110504,0.00,26.7,18.9,
20110505,43.00,28.3,19.6,
20110506,1.07,26.1,19.1,
20110507,52.98,27.7,18.8,
20110508,23.33,26.6,18.1,
20110509,2.12,26.9,17.6,
20110510,34.62,27.7,19.1,
20110511,2.06,26.5,19.3,
20110512,0.26,27.8,19.2,
20110513,0.15,27.4,19.9,
20110514,0.26,28.1,20.1,
20110515,0.00,29.7,19.6,
20110516,0.03,27.3,20.1,
20110517,17.36,26.2,20.2,
20110518,0.08,27.5,19.6,
20110519,0.00,27.1,18.7,
20110520,0.34,25.6,20.2,
20110521,4.00,24.6,18.9,
20110522,1.09,25.3,18.1,
20110523,0.98,26.7,18.8,
20110524,9.20,27.4,18.7,
20110525,5.62,25.8,18.3,
20110526,1.42,26.9,18.6,
20110527,0.81,26.5,18.3,
20110528,2.20,27.5,19.0,
20110529,0.66,26.7,19.2,
20110530,0.00,28.5,19.0,
